fecha,Internacional_count,Nacional_count,paginas_totales,proporcion_total,proporcion_ajustada,deportes,estrellas,familia,internacional_x,loteria,modelo_x,noticias,opinion,publicidad externa,publicidad interna,reportajes,variedades,chipi_presente,deportes_seccion,estrellas_seccion,familia_seccion,internacional_seccion,loteria_seccion,modelo_seccion,noticias_seccion,opinion_seccion,publicidad externa_seccion,publicidad interna_seccion,reportajes_seccion,variedades_seccion,year_x,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional_y,modelo_portada,especial,publicidad,modelo_y,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido,day,month,year_y,region,titulo,subtitular,contraportada,id
2022-01-24,4.0,3.0,32.0,1770.0,55.31,4.86,3.67,2.33,5.0,0.0,1.5,3.56,2.0,0.0,0.0,3.0,2.0,1.0,7.0,3.0,3.0,1.0,1.0,2.0,9.0,1.0,0.0,0.0,2.0,3.0,2022.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,108047.0,105664.0,12213.0,93451.0,,,,,,,,
2022-01-25,3.0,2.0,25.0,1350.0,54.0,1.8,3.0,2.75,3.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,3.0,1.0,5.0,2.0,4.0,1.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,2.0,2022.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,98876.0,96480.0,25231.0,71249.0,,,,,,,,
2022-01-26,2.0,3.0,30.0,1650.0,55.0,3.6,3.0,2.2,3.0,0.0,0.0,3.89,0.0,3.0,0.0,0.0,3.5,1.0,5.0,5.0,5.0,1.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,2.0,2022.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,13.0,97712.0,95316.0,13825.0,81491.0,,,,,,,,
2022-01-27,5.0,0.0,23.0,1260.0,54.78,3.2,2.0,2.5,3.5,0.0,0.0,4.29,1.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,2.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,99385.0,96991.0,6911.0,90080.0,,,,,,,,
2022-01-28,5.0,0.0,24.0,1400.0,58.33,2.8,4.33,2.0,4.0,0.0,0.0,4.62,1.5,0.0,0.0,0.0,2.33,0.0,5.0,3.0,2.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,2022.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,99483.0,97078.0,6716.0,90362.0,,,,,,,,
2022-01-29,3.4,2.6,27.4,1476.0,53.74,2.9,4.07,1.8,2.83,0.0,0.0,4.11,1.2,0.8,0.0,1.3,2.43,0.6,6.0,2.4,2.4,2.6,0.2,0.0,8.4,1.6,0.4,0.0,0.8,2.6,2022.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,11.0,98130.0,94126.0,9611.0,84515.0,,,,,,,,
2022-01-30,4.0,2.0,26.0,1450.0,55.77,2.5,3.0,3.67,4.0,0.0,0.0,5.0,1.5,0.0,0.0,0.0,3.0,0.0,6.0,3.0,3.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,100716.0,98869.0,5623.0,93246.0,,,,,,,,
2022-01-31,3.0,4.0,29.0,1790.0,61.72,4.14,5.5,1.67,3.0,0.0,0.0,5.75,1.5,0.0,0.0,2.5,3.33,1.0,7.0,2.0,3.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,2.0,3.0,2022.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,104462.0,102073.0,3408.0,98665.0,,,,,,,,
2022-02-01,2.0,3.0,26.0,1370.0,52.69,2.4,3.5,2.67,3.0,0.0,0.0,3.55,0.5,0.0,0.0,0.0,2.0,1.0,5.0,2.0,3.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,13.0,96846.0,94478.0,18766.0,75712.0,Sunday,January,2022.0,nacional,celebracion lo lleva a la muerte,"ya no llego a darles el abrazo a sus papas, en el progreso",modelo,010222nacional
2022-02-02,3.0,2.0,23.0,1610.0,70.0,3.4,2.5,2.67,4.0,0.0,0.0,4.62,2.5,0.0,0.0,0.0,4.0,1.0,5.0,2.0,3.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,96935.0,94536.0,12821.0,81715.0,Wednesday,February,2022.0,nacional,baleado sin piedad,crimen ocurrido en parada de bus en san miguel petapa,modelo,020222nacional
2022-02-03,5.0,6.0,30.0,1880.0,62.67,3.91,3.33,2.5,3.0,0.0,0.0,3.88,2.5,0.0,0.0,0.0,3.0,1.0,11.0,3.0,2.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,2022.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,97679.0,95284.0,8197.0,87087.0,Wednesday,March,2022.0,nacional,asesinan entre 6 y 9 personas todos los dias,guatemala escuintla chiquimula e izabal son los departamentos con mas muertes violentas,internacional,030222nacional
