id,titulo,subtitular
012122sur,fallece camino a hospital,conductor fue victima de colision contra camion en coatepeque
012122norte,exigen reparacion,comunitarios crucenos piden compromiso de autoridades para mejorar tramo hacia la tecnica
012122oriente,exigen semaforos,aparatos de la zona 1 de chiquimula llevan mas de 15 dias apagados
012122guate,avanza obra,"comuna y cocode trabajan en la construccion de drenajes y planta de tratamiento en la aldea la cienaga, en san raymundo"
012222nacional,se entrega exministro que tenia q122 millones,jose luis benito esta acusado de fraude y lavado de dinero
012222occidente,puente podria colapsar,"exigen reparacion de estructura, que comunica a las zonas 1 y 6, en huehuetenango"
012222guate,arde fabrica,"miles de quetzales en perdidas dejo un siniestro ocurrido en ciudad quetzal, san juan sacatepeque"
012322nacional,pnc salva a matones y turba se enfurece,"un hombre y una menor balean a vecino, grupo los queria linchar, en palin"
012422nacional,entro a callejon sin salida,mujer intento escapar de sicarios en mixco
012422occidente,tendran agua potable,familias de dos parajes de san francisco el alto se beneficiaran con proyecto
012422centro,vacunan en mercado,area de salud de chimaltenango espera inmunizar al 100 de los comerciantes en la terminal
012422sur,agonica estocada,"plataneros vence 2 1 a coatepeque en el ultimo minuto, en la blanca"
012422norte,superan el examen,"heredia gana partido de fogueo, de cara al clausura 2022 en la segunda division"
012422oriente,penal de la victoria,csd zacapa tellioz se impone a sanarate en el david ordonez bardales
012422guate,dan golpe de autoridad,"comunicaciones b firma la goleada de la segunda fecha del torneo, en la primera division, al doblegar a chimaltenango"
012522nacional,rechazan seguro,"bloquean el pais, causando perdidas bebe nace en protesta de huehuetenango"
012522occidente,invertiran q30 millones,"adjudican presupuesto para educacion, salud y obra gris en san marcos"
012522centro,suspenden procesion,hermandad de jesus nazareno de la aldea santa ines de la antigua solo hara velacion
012522sur,choca contra muro,conductora pierde el control luego de que auto la impactara en coatepeque
012522norte,reparan puente,"cansados de esperar desde hace ano y medio, vecinos aportan mano de obra"
012522oriente,aplican medida de salud,acciones buscan prevenir contagios en transporte de chiquimula
012522guate,extinguen las llamas,auxilian a conductor de vehiculo que sufrio accidente en el anillo periferico zona 7 capitalina
012622nacional,motorista mata a ladron,victima repele ataque y queda herida en la zona 7 de la capital
012622occidente,preocupan robos y extorsiones,multiples denuncias ponen en alerta a las autoridades en huehuetenango
012622centro,servicio irregular,usuarios del transporte publico de chimaltenango con dificultades para viajar
012622sur,tacuacina lo arrolla,piloto muere en el kilometro 249 entre el crucero de la virgen y ayutla
012622norte,reparan camino,ruta de puerto barrios a honduras es de riesgo para conductores debido a abandono
012622oriente,esquivan charcos,aguas servidas afectan a vecinos del barrio buenos aires zacapa
012622guate,muere a tiros,presuntos pandilleros atacan a conductor de tuctuc en la colonia landivar zona 7 capitalina
012722nacional,mareros matan a rivales,extorsionistas repartian telefonos en villa nueva
012722occidente,les dan ultimatum,transportistas tienen hasta el 11 de febrero para pagar derecho de paso en san pedro sacatepequez
012722centro,perece arrollado,vecinos senalan que se dedicaba a pastorear reses en santo domingo xenacoj
012722sur,vecinos abren paso,"habilitan calle para trasladar productos en el matasano, san pablo"
012722norte,vivos de milagro,condiciones climaticas y exceso de velocidad causan que vehiculo choque contra arbol en puerto barrios
012722oriente,reubican buses,unidades interurbanas de esquipulas se estacionan en la 9a calle entre 6a y 7a avenidas
012722guate,tenian municiones,policia captura en la zona 5 a tres presuntos integrantes de la mara salvatrucha con arma hechiza y siete celulares
012822nacional,chofer muere,trailer cae en barranco en la cumbre de huyus el progreso
012822occidente,sanalan anomalias,comerciantes denuncian abuso de autoridad y exceso en el cobro de piso de plaza en el canton el mosquito de san pedro sacatepequez
012822centro,asfaltaran ruta,inversion en ruta que comunica a patzun y tecpan guatemala sera de q98 millones
012822sur,conectan comunidades,vecinos de san agustin pacaya en coatepeque construyen puente sobre el rio la ceiba
012822norte,amplian operativos,policia sigue identificando personas en la frontera para evitar delincuencia y migracion ilegal en puerto barrios
012822oriente,limpian canal,vecinos de la fragua zacapa hacen llamado a evitar contaminacion de afluente
012822guate,ataque en cevicheria,hombres armados ingresan a local y sin mediar palabra asesinan a hugo garcia en la zona 12
012922nacional,caceria de coyotes,los acusan de trasladar por mexico a migrantes asesinados en tamaulipas
012922occidente,bloquean permisos,toman medida en san marcos por exagerado numero de taxistas y microbuses
012922guate,les disparan,dos jovenes resultan heridos en ataque armado registrado en la colonia san luis la leyenda san pedro ayampuc
013022nacional,manejaba borracho,atropella a joven y dana vivienda en el barrio la reformita
013122nacional,choca contra camion,encuentran botellas de licor en cabina de picop en siquinala escuintla
013122occidente,sufren por contaminacion,vendedores exigen a autoridades cambiar de lugar el botadero municipal en san cristobal totonicapan
013122centro,ganan en el nido,hristopher robles consigue el gol del triunfo para chimaltenango ante zacapa
013122sur,ahogan al puerto,plataneros derrota 0 3 a san jose en el vicente arevalo
