fecha,Internacional_count,Nacional_count,paginas_totales,proporcion_total,proporcion_ajustada,deportes,estrellas,familia,internacional_x,loteria,modelo_x,noticias,opinion,publicidad externa,publicidad interna,reportajes,variedades,chipi_presente,deportes_seccion,estrellas_seccion,familia_seccion,internacional_seccion,loteria_seccion,modelo_seccion,noticias_seccion,opinion_seccion,publicidad externa_seccion,publicidad interna_seccion,reportajes_seccion,variedades_seccion,year,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional_y,modelo_portada,especial,publicidad,modelo_y,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
2022-02-07,3.0,2.0,31.0,1475.0,47.58,1.8,3.5,1.25,5.0,0.0,1.5,3.44,2.0,0.0,0.0,4.5,0.5,1.0,5.0,2.0,4.0,2.0,1.0,2.0,9.0,2.0,0.0,0.0,2.0,2.0,2022.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,104976.0,102597.0,7545.0,95052.0
2022-02-08,4.0,1.0,20.0,1050.0,52.5,2.2,4.0,2.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.5,1.0,5.0,1.0,3.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,2022.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,99321.0,96933.0,9523.0,87410.0
2022-02-09,3.0,3.0,24.0,1310.0,54.58,3.2,3.5,2.75,4.0,0.0,0.0,5.56,1.5,0.0,0.0,0.0,3.0,0.0,5.0,2.0,4.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,2022.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,10.0,96893.0,94475.0,13782.0,80693.0
2022-02-10,0.0,0.0,1.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2022.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,98473.0,96080.0,10067.0,86013.0
2022-02-11,2.0,1.0,14.0,790.0,56.43,3.5,4.0,3.0,2.0,0.0,0.0,4.6,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,2022.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,11.0,98104.0,93903.0,7983.0,85920.0
2022-02-12,3.6,2.4,25.8,1478.0,57.32,3.29,3.33,2.73,2.9,0.0,0.0,4.09,1.5,0.4,0.4,0.8,2.0,0.8,6.4,2.6,3.6,1.6,0.0,0.0,7.2,1.8,0.2,0.2,0.2,2.0,2022.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,9.0,96334.0,94427.0,8040.0,86387.0
2022-02-13,3.0,2.0,25.0,1170.0,46.8,2.2,3.0,4.33,3.5,0.0,0.0,4.11,1.5,0.0,0.0,0.0,0.5,1.0,5.0,2.0,3.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,2022.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,99280.0,97418.0,8123.0,89295.0
2022-02-14,6.0,3.0,32.0,1770.0,55.31,2.0,3.33,2.86,3.0,0.0,0.0,3.86,1.5,1.0,0.0,0.0,3.0,1.0,9.0,3.0,7.0,1.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,2.0,2022.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,104678.0,102281.0,8265.0,94016.0
2022-02-15,2.6,2.6,25.2,1468.0,58.09,3.34,3.7,2.1,2.8,0.0,0.0,3.9,1.1,1.2,0.0,0.0,2.0,0.6,5.6,2.6,3.6,1.6,0.0,0.0,8.0,1.8,0.6,0.0,0.0,1.4,2022.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,96817.0,94401.0,7453.0,86948.0
2022-02-16,3.0,2.0,23.0,1160.0,50.43,3.4,3.5,2.67,4.0,0.0,0.0,4.17,1.0,0.0,0.0,0.0,2.5,1.0,5.0,4.0,3.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,25.0,1.0,95587.0,93160.0,10128.0,83032.0
2022-02-17,5.0,2.0,27.0,1640.0,60.74,4.14,5.0,2.25,3.5,0.0,0.0,4.38,0.5,0.0,0.0,0.0,2.5,1.0,7.0,2.0,4.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.0,2022.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,11.0,105772.0,103251.0,8979.0,94272.0
2022-02-18,4.0,2.0,24.0,1350.0,56.25,3.5,2.5,2.67,3.0,0.0,0.0,3.14,2.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,3.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,14.0,96839.0,92626.0,7133.0,85493.0
2022-02-19,2.0,2.0,23.0,1330.0,57.83,3.4,3.0,2.5,3.0,0.0,0.0,4.14,1.5,0.0,0.0,0.0,3.0,0.0,5.0,2.0,4.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,2022.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,12.0,95611.0,93709.0,7839.0,85870.0
2022-02-20,4.0,2.0,25.0,1500.0,60.0,3.2,2.5,5.0,4.5,0.0,0.0,4.0,1.5,0.0,0.0,0.0,2.5,0.0,5.0,2.0,3.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,28.0,98642.0,96565.0,7667.0,88898.0
2022-02-21,4.0,4.0,32.0,1940.0,60.62,3.5,2.67,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,8.0,3.0,3.0,2.0,1.0,0.0,9.0,2.0,0.0,0.0,2.0,2.0,2022.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,18.0,102993.0,99848.0,8016.0,91832.0
2022-02-22,3.0,3.0,27.0,1470.0,54.44,3.33,3.0,3.4,3.0,0.0,0.0,3.56,1.0,0.0,0.0,0.0,3.0,1.0,6.0,2.0,5.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,2022.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,14.0,95456.0,93067.0,8712.0,84355.0
2022-02-23,3.0,3.0,26.0,1470.0,56.54,3.33,3.0,1.33,2.5,0.0,0.0,3.88,2.5,1.0,0.0,0.0,2.5,1.0,6.0,2.0,3.0,2.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,2.0,2022.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,96454.0,93967.0,11201.0,82766.0
2022-02-24,4.0,1.0,26.0,1220.0,46.92,2.0,2.5,2.75,3.0,0.0,0.0,2.88,1.5,2.0,0.0,0.0,3.0,0.0,5.0,2.0,4.0,2.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,1.0,2022.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,17.0,97326.0,94927.0,6454.0,88473.0
