id,fecha,day,month,year,region,titulo,subtitular,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional,modelo_portada,especial,publicidad,contraportada,modelo,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
011922nacional,19/01/2022,Wednesday,January,2022,nacional,mareros siembran terror en las trojes,pobladores cierran comercios tras masacre de cuatro personas en amatitlan,4,0,0,0,3,1,0,0,0,0,0,modelo,1,6,10,97041,94583,11466,83117
012022nacional,20/01/2022,Thursday,January,2022,nacional,estalla coheteria,"muere una persona y otras dos quedan heridas, en parravos, chimaltenango",5,0,3,0,1,0,1,0,0,0,0,modelo,1,2,11,98437,95986,8744,87242
012122nacional,21/01/2022,Friday,January,2022,nacional,atacan a choferes,mareros disparan a mansalva contra tres tuctuqueros en la zona 18 de la capital,4,0,2,2,0,0,0,0,0,0,1,modelo,1,3,14,101271,98889,9314,89575
012222nacional,22/01/2022,Saturday,January,2022,nacional,se entrega exministro que tenia q122 millones,jose luis benito esta acusado de fraude y lavado de dinero,2,1,1,0,0,0,0,0,0,0,0,modelo,1,7,11,96572,92756,8429,84327
012322nacional,23/01/2022,Sunday,January,2022,nacional,pnc salva a matones y turba se enfurece,"un hombre y una menor balean a vecino, grupo los queria linchar, en palin",4,0,1,0,1,2,0,0,0,0,0,modelo,1,8,14,100179,98338,8254,90084
012422nacional,24/01/2022,Monday,January,2022,nacional,entro a callejon sin salida,mujer intento escapar de sicarios en mixco,4,0,2,0,1,0,1,0,0,0,1,deporte,1,5,7,108047,105664,12213,93451
012522nacional,25/01/2022,Tuesday,January,2022,nacional,rechazan seguro,"bloquean el pais, causando perdidas bebe nace en protesta de huehuetenango",1,0,0,0,0,0,1,0,0,0,1,internacional,1,2,11,98876,96480,25231,71249
012622nacional,26/01/2022,Wednesday,January,2022,nacional,motorista mata a ladron,victima repele ataque y queda herida en la zona 7 de la capital,3,0,2,0,0,0,1,0,0,0,1,deporte,1,4,13,97712,95316,13825,81491
012722nacional,27/01/2022,Thursday,January,2022,nacional,mareros matan a rivales,extorsionistas repartian telefonos en villa nueva,4,0,2,0,1,1,0,0,0,0,1,deporte,1,4,6,99385,96991,6911,90080
012822nacional,28/01/2022,Friday,January,2022,nacional,chofer muere,trailer cae en barranco en la cumbre de huyus el progreso,3,0,1,0,1,1,0,0,0,0,1,modelo,1,2,11,99483,97078,6716,90362
012922nacional,29/01/2022,Saturday,January,2022,nacional,caceria de coyotes,los acusan de trasladar por mexico a migrantes asesinados en tamaulipas,3,0,1,0,0,0,1,1,0,0,1,nacionales,1,3,11,98130,94126,9611,84515
013022nacional,30/01/2022,Sunday,January,2022,nacional,manejaba borracho,atropella a joven y dana vivienda en el barrio la reformita,3,0,2,0,1,0,0,0,0,0,1,deporte,0,2,11,100716,98869,5623,93246
013122nacional,31/01/2022,Monday,January,2022,nacional,choca contra camion,encuentran botellas de licor en cabina de picop en siquinala escuintla,3,0,0,0,1,0,2,0,0,0,1,deporte,1,3,11,104462,102073,3408,98665
020122nacional,01/02/2022,Tuesday,February,2022,nacional,arde trailer,chofer se salva de siniestro en el km 222 concepcion las minas chiquimula,3,0,0,0,1,0,2,0,0,0,1,deporte,1,2,13,96846,94478,18766,75712
020222nacional,02/02/2022,Wednesday,February,2022,nacional,baleado sin piedad,crimen ocurrido en parada de bus en san miguel petapa,3,0,2,0,1,0,0,0,0,0,1,modelo,1,3,10,96935,94536,12821,81715
020322nacional,03/02/2022,Thursday,February,2022,nacional,el clasico es rojo,matias rotondi con doblete derrota a los cremas,3,0,0,1,1,1,0,0,0,0,1,modelo,1,4,8,97679,95284,8197,87087
020422nacional,04/02/2022,Friday,February,2022,nacional,crimen en la terminal,joven caminaba con su hermana en el sector de las gradas,4,0,2,1,0,0,1,0,0,0,1,modelo,1,4,11,97506,95126,6874,88252
020522nacional,05/02/2022,Saturday,February,2022,nacional,profugo enfrente a policias,israel salguero escapo de la carcel en 2020 ayer disparo contra agentes antes de morir zacapa,3,0,3,0,0,0,0,0,0,0,1,deporte,1,4,16,97256,93422,8161,85261
020622nacional,06/02/2022,Sunday,February,2022,nacional,matan a chofer y ayudante,sicarios les hacen la parada y los balean en colomba quetzaltenango,4,0,3,0,0,0,1,0,0,0,1,modelo,1,5,11,101380,99543,7789,91754
020722nacional,07/02/2022,Monday,February,2022,nacional,tragico encontronazo,jovenes huian tras chocar contra auto en villa nueva,4,0,2,0,2,0,0,0,0,0,1,deporte,1,2,9,104976,102597,7545,95052
020822nacional,08/02/2022,Tuesday,February,2022,nacional,arde bodega,propietarios almacenaban juegos pirotecnicos en la zona 1 de la capital,3,0,1,0,2,0,0,0,0,0,1,internacional,1,2,11,99321,96933,9523,87410
